FID,osmid,s,e,seg_length
518,146778067,1966483071,1600183682,12.70145098
519,1046984661,9622508755,9622465552,6.789127743
520,"[827588344, 43583465]",7726245985,5281831685,18.02528822
521,1056324136,9706184455,3336760543,4.470768559
522,14389224,9705704505,140401784,46.83082681
523,"[1056324139, 1056324134]",9706184455,9645416755,32.66045212
524,1056324210,9664611713,4878436662,3.018343742
525,1051231402,9660357616,9660357612,19.86731285
526,"[147692718, 332455399]",3561119043,1608966953,77.15685912
527,332455378,1057775823,2936682637,27.56295602
528,1050772132,9705704505,9632900487,5.208177236
529,592017397,5679622608,5651203226,17.81506925
530,92831729,1076506766,356313758,6.578017586
531,429289194,356313750,356313752,50.70279439
532,146778061,1600183703,1600183702,19.99056085
533,1047651431,9633593913,9633593912,82.56314934
534,91095292,1027200844,1027200771,20.64168978
535,1056048517,9703605478,5679622650,5.448064438
536,1049570360,9645416758,9645416756,49.15054844
537,332455404,154617139,92486227,26.47002027
538,"[577248825, 27410182]",30202173,28887288,68.32997286
539,610731747,3779318168,28887289,17.6118374
540,"[53275979, 4389421]",364713467,28887289,27.10133296
541,146778074,5629355622,1966483074,6.355644233
542,596103324,5679622635,1600183685,29.14164501
543,"[58658650, 58658647]",140416888,726784470,62.62973903
544,131497965,1032369404,1032369108,18.50898258
545,623564033,5888716838,5679622660,37.63325188
546,332455399,3561119043,1608966955,6.984278971
547,332455396,271411889,32635145,22.39193246
548,"[548370034, 332455374]",663075859,140402611,33.38163238
549,1056324192,9706186156,9613398972,5.129759055
550,1056324210,9664611713,4917184381,3.929163974
551,35393371,5772928447,1027163102,7.254469308
552,1047304175,9706186225,9630406469,23.41081294
553,546559497,9634169364,6052666716,38.65704619
554,595798549,5677538957,727286389,23.26003956
555,332455374,140403043,663075859,69.06958582
556,1046342147,9706184456,9622397608,4.381872959
557,1047605802,9633622231,9633133518,7.157358325
558,1047709644,9706185778,9705704508,83.43394946
559,33693780,598569841,1552918953,17.75273091
560,88965289,1032369522,1032369177,3.963605141
561,"[548370028, 548370030]",598569835,3998228448,53.53686116
562,332455412,973783156,413357305,27.90418539
563,596103312,5679622664,5679622663,18.947116
564,27361456,6052666725,390486261,9.755188098
565,331553020,343771905,343771899,29.84733604
566,91095292,1027201096,1027200771,21.85535023
567,1046342147,9645388311,9622436747,4.693096872
568,1051248008,9633593913,9627662993,14.53029178
569,120613500,29033250,28887288,28.63153114
