FID,osmid,s,e,seg_length
522,541331485,42445936,596775919,145.4418497
523,491162341,449581627,42428212,82.74549869
524,"[473560368, 473560296]",4676427278,4676427186,14.0474674
525,495499666,3874681652,3874681651,9.748237721
526,464515259,42435422,9414480628,13.92755804
527,"[854051044, 398379303]",7964920722,4136179170,25.86696199
528,965833822,8307463083,6895152829,158.3589939
529,1021569514,9421942719,9421942718,8.861363991
530,"[532304648, 1021580409]",5165644104,5165644091,8.116208479
531,814278018,6895152830,42430707,172.3589347
532,814278019,42445020,8646554913,5.92715185
533,5670803,7590955909,4461990857,6.766056761
534,569345538,8318633108,1828749428,28.62324877
535,607763000,5759126975,5759126950,22.29157923
536,989261434,8307463470,247119751,5.287381844
537,888552527,8261122933,8261122901,63.50361147
538,1021536538,8261122944,8261122897,1.86329436
539,895394557,8288270422,428219734,14.95529849
540,"[420901682, 420901677]",3569749114,7964920722,64.69930374
541,46522008,3974095831,42428297,12.4678605
542,527856276,5130936740,4259273041,134.2652384
543,464683339,4597668043,4597668030,79.58331897
544,"[968406200, 46482819]",427804205,427804166,80.82842461
545,"[379435778, 607762989]",5759126964,5690487661,20.58049274
546,505537786,8261123396,8261123397,3.221614632
547,446193620,8262309053,7396482976,44.8701039
548,"[1021481742, 1021481743]",8660596958,8660596939,11.41907426
549,989265268,8261122892,42430639,8.682779983
550,46518731,42455931,3569749109,11.3607064
551,607762999,5759126989,1209764912,12.33620542
552,954926502,42434974,3946500927,8.554071616
553,5670603,4379966376,246650546,7.069685062
554,981198332,9076206581,9076206578,8.372129135
555,714529857,7761301150,5131026396,47.5280825
556,512052141,8119193329,5007384476,13.17546276
557,988987061,9140954087,427804029,7.280932479
558,104911003,5759126952,1209764937,38.9089762
559,385107995,6224277875,3833309813,21.58026221
560,893819958,8307463061,4846942594,71.12148064
561,771759765,3639382767,561042199,9.174186579
562,415619451,8119462469,4166338962,7.403480746
563,495501819,4872443907,4872443906,29.04989798
564,22941436,247119784,247119765,9.427697196
565,889699090,8271079636,8271079625,32.61244719
566,525729010,8288270378,8288270384,63.72180097
567,597821266,42430597,4634276416,209.7268839
568,664950980,6223969259,6223969247,16.08486438
569,"[527867881, 833665327]",5131026396,3932847294,10.48216244
570,458166897,42449954,42448813,81.08750817
571,532047248,8831630306,5163687763,54.33027444
572,714529856,6716668060,6716668055,13.91902124
573,162776008,1745991214,1745991212,80.32410358
574,36806680,8288270400,6878240308,91.06279687
575,104910999,3827330950,3670402918,2.424031701
576,833858454,8307463346,7784129808,28.28410589
577,381477008,7640871316,42442918,13.51895415
578,759904479,1701844777,1701844700,16.45958588
579,46481738,8261122942,8592620027,97.82043564
580,5672190,3817760670,1729086998,112.2220918
581,664985023,6224277834,6224277828,7.665160467
582,607762991,5759126945,5759126943,64.63079305
583,390114496,7640871296,3932847296,11.83871908
584,872814515,8127675290,8127675289,26.13413214
585,571651963,8119462466,3786901743,7.258520292
586,935563658,8669764315,8669764314,1.401724102
587,888552511,9421649569,8261122867,37.40150707
588,495253325,3874681637,3874681636,9.956044871
589,"[968394456, 968394455]",42430288,42430292,78.9409558
590,"[1041018376, 1041018377, 36806659]",42437688,6814312340,263.3939604
591,893819971,8307416084,4846942600,7.147030299
592,46490538,6321287404,6223969252,130.2534155
593,22941384,8307463483,247119581,72.50927199
594,893819988,8307463364,8307463295,62.69246111
595,36801355,427804205,593926788,28.63352401
596,871693860,8119193325,8119192804,13.65945102
597,893820026,5070138816,5070138815,5.73754588
598,46522008,3974095832,5522182777,52.24371019
599,759904485,3670415217,3670415213,16.40685449
600,"[1020674653, 1020674654]",9413881744,7590955909,12.1450718
601,"[527867877, 833665294]",5131026390,5130936740,10.67373065
602,"[645864305, 645864306]",6069996234,6069996231,51.50153163
